ID,Problem,Model Response,Extracted Answer,Ground Truth,Correct,Latency,Subject,Input Tokens,Output Tokens
e440f955-65d2-4480-9235-095bb3e2f7ef,Drug of choice for reversal of is neuromuscular blockade by vacuronium-,The answer is (C),C,C,True,6.877770421,Anaesthesia,88,400
09c511d0-c5e3-4832-88d1-a8e4a3ae8617,Chest compression to ventilation ratio in resuscitation of children with 2 rescuers is,The answer is (C),C,C,True,4.408640475,Anaesthesia,94,336
40d4a2bf-0dd6-4978-85ec-81bcafa94b0f,"During induction of general anesthesia, administration of oxygen with high concentration of nitrous oxide and halothane hastens the uptake of halothane, this is known as",The answer is (C),C,C,True,3.387412662,Anaesthesia,102,272
d7d7314e-337d-48b7-ba0c-2a8437718963,Which of the following local anaesthetic is the shoest acting which aids in obstetric anaesthesia?,The answer is (D),D,D,True,4.328793541,Anaesthesia,92,336
e5aac067-5324-4b98-8c89-234dfe4ebf88,The latest AHA 2010 for CPCR in basic life suppo by two individuals for cardiac external massage & ventilation in adult is?,The answer is (A),A,A,True,5.751362992,Anaesthesia,100,336
6fbf3579-c236-44bf-82a2-8031caced3bd,Malampatti grading is for,The answer is (D),D,D,True,5.330201737,Anaesthesia,91,336
d5ec4923-de6a-4951-869c-a3edcfe30773,A 30-year-old woman in her last trimester of pregnancy suddenly develops massive swelling of the left lower extremity. Which of the following would be the most appropriate workup and treatment at this time,"- A pregnant woman in the third trimester with sudden, massive unilateral leg swelling is highly suspicious for deep venous thrombosis. - The diagnostic test of choice in pregnancy is duplex ultrasonography because it is noninvasive and does not involve ionizing radiation. - The appropriate anticoagulant in pregnancy is heparin (preferably low–molecular-weight heparin). Warfarin is contraindicated in pregnancy, and a vena caval filter is reserved for those who cannot receive anticoagulation or who have recurrent emboli despite adequate anticoagulation. - Venography is invasive and involves radiation/contrast, so it is not preferred in pregnancy.  The answer is (B)",B,B,True,8.676102224,Anaesthesia,139,531
ac20506a-ad14-451a-8623-b55f455b160d,Most cardiostable among the following is,The answer is (D),D,D,True,4.331745557,Anaesthesia,78,272
4f0e22b4-45bc-4933-bb14-d8b331c6d4b9,Anesthetic agent with vasoconstrictor is contraindicated in?,The answer is (A),A,A,True,5.472125254,Anaesthesia,80,272
85ffaaa8-6bdf-4ddf-bdb1-a7c4d03658af,Intubation dose of pancuronium,The answer is (D),D,D,True,4.248817095,Anaesthesia,93,336
0799ebd4-a3f4-49fd-9c2c-93880fffcc2f,Which of the following can delivery 100% oxygen,The answer is (D),D,B,False,18.103830353,Anaesthesia,83,1168
333198d7-792c-4259-b8f6-9995be88b011,A 30 year old female who had undergone a sugery under spinal anaesthesia has developed post spinal headache. How long does it take for the headache to subside?,"Post-dural puncture headache is usually self-limiting and resolves spontaneously within 7–10 days, and commonly by 2 weeks.  The answer is (C)",C,C,True,4.796713876,Anaesthesia,115,365
ad3745fa-e56a-4941-a5b4-1d33684eb11c,"To counter central anticholinergic effect, drug used is:","Central anticholinergic toxicity (e.g., delirium, agitation, hallucinations) requires a cholinesterase inhibitor that can cross the blood-brain barrier. Physostigmine is a tertiary amine that penetrates the CNS and reverses central anticholinergic effects. Neostigmine is quaternary and does not cross the BBB, while atropine and hyoscine are anticholinergics that would worsen the condition.  The answer is (A)",A,A,True,3.087983619,Anaesthesia,83,172
46186ab9-eddf-4104-bd18-790b178c3671,What is the fresh gas flow in Mapleson A circuit:-,The answer is (A),A,A,True,8.527673076,Anaesthesia,90,720
a2a475fc-05d0-4547-b6b3-cc27b2bcbd5e,Depolarising muscle relaxant?,"Scoline is the brand name for succinylcholine (suxamethonium), which is a depolarizing neuromuscular blocker. Atracurium, cisatracurium, and pancuronium are non-depolarizing agents.  The answer is (A)",A,A,True,3.474026915,Anaesthesia,78,197
8b22054a-cb71-4889-b1ce-24246e4deee4,"During anesthesia, which is least affected",The answer is (C),C,C,True,6.185964413,Anaesthesia,85,400
0ca66de7-02f3-4b3d-b7b3-dc517d51e463,The treatment of choice in diagnosed ventricular fibrillation is,Ventricular fibrillation is best treated with immediate defibrillation; CPR and drugs are adjuncts.  The answer is (C),C,C,True,6.832334329,Anaesthesia,79,421
0888cb2c-58be-46f2-93c1-4b44c918be63,Supreme LMA characteristic is -,The answer is (D),D,D,True,9.918806973,Anaesthesia,79,784
27410fa0-4bf3-452a-861d-519f5b2869f1,Safety pin index for oxygen cylinder is?,The answer is (A),A,A,True,7.149450127,Anaesthesia,81,272
8c30baf3-6c20-4d5f-b894-d4e6133a78e3,"Among the following local anaesthetics, the one that is associated with vasoconstriction and mydriasis is:",The answer is (A),A,A,True,1.918284583,Anaesthesia,94,80
26ee8800-e102-4eec-a793-bedce517e349,Muscle most resistant to non depolarizing block is,The answer is (C),C,C,True,7.657581299,Anaesthesia,79,464
6cb03f76-0ac2-4d4c-a72d-eb6388273db5,Which of the following are not local anesthetics – a) Bupivacaineb) Mepivacaine c) Mivacuriumd) Butorphenole) Buprenorphine,The answer is (A),A,A,True,4.869010501,Anaesthesia,105,400
41a4c404-13d6-44e3-b7ab-2b21d6d6410d,Which of the following induction agent is most preferred for day care surgery: September 2010,"Propofol is preferred in day care (ambulatory) surgery because it provides rapid induction, quick recovery, and has antiemetic properties, minimizing postoperative nausea and facilitating early discharge.  The answer is (B)",B,B,True,4.437970314,Anaesthesia,84,309
8918b994-2cbc-4534-855f-938abdc53bf5,Armoured enforcement of ET tube is used in,The answer is (A),A,A,True,11.275984404,Anaesthesia,76,528
c3aef9ab-884a-4516-a46f-e17890cdfc01,"A 70 kg old athlete was posted for surgery, Patient was administered succinylcholine due to unavailability of vecuronium. It was administered in intermittent dosing (total 640 mg). During recovery patient was not able to respire spontaneously & move limbs. What is the explanation","Repeated or large cumulative doses of succinylcholine can convert the typical depolarizing (phase I) block into a desensitizing (phase II) block, which behaves like a nondepolarizing block with prolonged paralysis. A total of 640 mg in a 70 kg patient is a very large cumulative dose and is classic for producing phase II blockade. Pseudocholinesterase deficiency typically causes prolonged apnea even after a single standard dose, not specifically after large repeated dosing. Fasciculation-related myalgias do not cause sustained paralysis, and undiagnosed muscular dystrophy would more likely present with hyperkalemia and rhabdomyolysis.  The answer is (B)",B,C,False,10.409576005,Anaesthesia,161,855
66e19c7b-f86c-4e29-a0c7-f38690ad90d8,The Blade of the laryngoscope used in intubation of newborn is,"In newborns, the epiglottis is relatively floppy and the larynx is more anterior. A straight (Miller) blade is preferred to directly lift the epiglottis and visualize the glottis. Traditionally, neonates are intubated with uncuffed tubes to reduce the risk of subglottic injury (though cuffed microcuff tubes are increasingly used, standard teaching remains uncuffed).  The answer is (C)",C,C,True,4.142659312,Anaesthesia,98,293
aee41993-0536-41c8-b989-2d904acd2efa,Least MAC is of which inhalational agent?,The answer is (B),B,A,False,6.260897249,Anaesthesia,79,464
ff2f14ed-0857-44a1-9c57-ceee8ca80881,Which of the following is the most common initial manifestation of malignant hypehermia?,The answer is (C),C,C,True,3.603136327,Anaesthesia,89,272
86d28be8-e596-467b-ad3b-f9fd9a4d4496,Malignant hypehermia is caused by,The answer is (A),A,A,True,2.743343666,Anaesthesia,84,208
fa402eca-0d02-4396-b307-0d32ea825c70,Afferent nerve fibre affected by local anesthesia first,The answer is (C),C,C,True,6.809885315,Anaesthesia,77,528
da895b4e-3425-4bfa-9fca-960762bc6daf,The most important constituent in soda lime for reabsorption of CO2 in a closed circuit is –,"Soda lime is primarily composed of calcium hydroxide (~80%), with smaller amounts of sodium hydroxide and potassium hydroxide serving mainly as activators to speed the reaction. The actual absorption of CO2 occurs predominantly via calcium hydroxide, forming calcium carbonate and water. Therefore, the most important constituent for CO2 reabsorption is calcium hydroxide.  The answer is (C)",C,C,True,6.562235194,Anaesthesia,90,470
f167d329-86a4-4fc4-a2f8-6afbe9a63639,"During surgery for aoic arch aneurysm under deep hypothermic circulatory arrest, which of the following anesthetic agent administered prior to circulatory arrest that also provides cerebral protection?","Deep hypothermic circulatory arrest strategies include pharmacologic cerebral metabolic suppression to protect the brain. Barbiturates, particularly thiopental, are classically administered before arrest to produce burst suppression and reduce cerebral metabolic rate, thereby providing cerebral protection. Ketamine increases cerebral metabolism and blood flow, etomidate is not typically used for burst suppression in this context, and while propofol can also reduce CMRO2, the traditional and most referenced agent for DHCA cerebral protection is thiopental.  The answer is (B)",B,B,True,10.942666143,Anaesthesia,104,821
d3bf9aa8-e6bf-4377-bdcd-582b4b3306c7,Compression ventilation ratio in case of Neonatal CPR:-,The answer is (A),A,A,True,16.422074695,Anaesthesia,87,336
51475fb4-4c5b-43b8-b1d7-8d9fe48ada3f,Bupivacaine toxicity treated with – a) Esmololb) Epinephrinec) Lignociained) 5 percent dextrosee) Benzodiazepines,The answer is (D),D,D,True,7.938921205,Anaesthesia,99,656
326552c4-c710-4cee-97a4-27a23313664f,Fastest to slowest route of absorption of local anaesthetic is?,"Absorption rate of local anesthetic correlates with tissue vascularity. Tracheal mucosa is most vascular, followed by intercostal spaces; epidural is less than intercostal, and subcutaneous is the least.  The answer is (B)",B,B,True,8.175053955,Anaesthesia,134,574
8fa90ddc-90fa-4d26-ad9f-97b49c021f58,"In status epilepticus, drug of choice is:","- Status epilepticus requires rapid seizure termination with a fast-acting benzodiazepine. - IV lorazepam is often preferred, but if not listed, IV diazepam is an appropriate first-line option. - IM diazepam has erratic absorption; oral clonazepam is inappropriate in an emergency; IM phenytoin is not recommended (fosphenytoin IM/IV is preferred).  The answer is (A)",A,A,True,4.773136985,Anaesthesia,87,356
90e79771-232d-4f0e-9d28-eecf0400a250,Anesthetic having epileptogenic potential?,The answer is (A),A,A,True,4.246830455,Anaesthesia,79,272
21741fa8-0cd2-4e99-9ba2-2910550788d0,Among the following anaesthetic drug/inducing agents which should be avoided in a patient with a history of epilepsy,The answer is (C),C,C,True,8.133917062,Anaesthesia,91,528
fb22bfc1-6edc-4099-9d59-5ab1aec761e2,"Ten days after an exploratory laparotomy and lysis of adhesions, a patient, who previously underwent a low anterior resection for rectal cancer followed by postoperative chemoradiation, is noted to have succus draining from the wound. She appears to have adequate source control--she is afebrile with a normal white blood count. The output from the fistula is approximately 150 cc per day. Which of the following factors is most likely to prevent closure of the enterocutaneous fistula?",The answer is (A),A,A,True,8.053206898,Anaesthesia,168,528
f83faf75-2936-4836-87fd-eeea69852be0,Effect of Propofol on coagulation is?,The answer is (B),B,D,False,5.498066621,Anaesthesia,84,336
c0d2c1bb-ba22-4f57-9758-6de6bf9cfc4d,Which of the drug potentiates neuromuscular blockade,The answer is (B),B,B,True,7.530572434,Anaesthesia,81,592
3f4ce824-235e-4610-aceb-79a2068cd989,Maximum dose of lignocaine with adrenaline for local blocks in ophthalmic surgeries is:,"Lidocaine (lignocaine) maximum recommended dose is higher when used with adrenaline due to reduced systemic absorption. Standard teaching: approximately 4–5 mg/kg without adrenaline and up to 7 mg/kg with adrenaline. For ophthalmic local blocks, the same ceiling applies.  The answer is (C)",C,C,True,9.381237995,Anaesthesia,88,840
9a704cf0-7f28-4093-a663-3e9f73c4205c,Murphy&;s eye is seen in,- Murphy’s eye is the side hole near the distal tip of an endotracheal tube that provides an alternate pathway for ventilation if the bevel becomes occluded. - Macintosh laryngoscope: a blade used for intubation; no Murphy eye. - LMA: has aperture bars; no Murphy eye. - Flexible laryngoscope: visualization device; no Murphy eye.  The answer is (B),B,B,True,5.140481494,Anaesthesia,80,284
d8878ea2-ee68-4e7f-abac-4450fd88109c,First sensation to be lost in local anesthetic use is?,The answer is (B),B,C,False,8.333304483,Anaesthesia,72,592
9a2f3a42-c01e-4569-861f-2c109f182427,Which of the following is predictor of difficult airway,The answer is (B),B,B,True,8.017505432,Anaesthesia,79,592
1815b9c5-85c3-42ca-8cdc-f0a41d3cad09,Speed of induction of anaesthesia is fast with which of the following anaesthetic agent and thus suitable for day care surgery,"Speed of induction and recovery for inhalational anesthetics are inversely related to their blood-gas partition coefficients (lower = faster). Among the options: - Desflurane ~0.42 (very low, fastest onset/offset) - Enflurane ~1.9 (slower) - Halothane ~2.4 (slower) - Methoxyflurane ~12 (very slow)  Therefore, desflurane has the fastest induction and is suitable for day care surgery due to rapid emergence (though it is pungent and can irritate airways for mask induction).  The answer is (B)",B,B,True,6.315967824,Anaesthesia,96,650
9d89798e-6336-47f7-92c3-f22dfbf4302b,Propofol and thiopentone are:,"Propofol and thiopentone are intravenous anesthetic drugs primarily used to induce anesthesia at the start of a procedure, so they are classified as inducing agents.  The answer is (A)",A,A,True,5.70296576,Anaesthesia,79,305
8e07e0a0-cb16-46cc-aea9-c870878b84ca,Safe inducing agent in malignant hyperpyrexia is,The answer is (D),D,D,True,21.06947567,Anaesthesia,80,1296
4ba875ed-8b16-4d6f-be1a-eaba72e5d8ae,Agent with shortest acting period -,"Short-acting local anesthetics: procaine. Intermediate: lignocaine. Long-acting: bupivacaine, dibucaine.  The answer is (A)",A,A,True,4.029816293,Anaesthesia,76,366
ea2510a5-8208-4054-90b7-b88c26bc6a2a,Induction agent that may cause adrenal cortex suppression is -,"Etomidate is known to inhibit 11β-hydroxylase and 17α-hydroxylase in the adrenal cortex, leading to decreased cortisol and aldosterone synthesis and resulting in adrenal suppression even after a single induction dose. Ketamine, propofol, and thiopentone do not have this characteristic effect.  The answer is (B)",B,B,True,4.903881505,Anaesthesia,79,276
6c316e83-e64c-4c9d-bcaf-6b08de309883,Anesthetic agent contraindicated in acute intermittent porphyria is?,The answer is (D),D,D,True,3.270961739,Anaesthesia,83,144
6b82db1a-9535-4442-9b79-dc90fa288524,The order of sensory blockade of local anesthesia is:,The answer is (A),A,A,True,16.000277416,Anaesthesia,94,1296
7f3bc856-0284-4faa-837f-64de7d88b0d2,Dose of ketamine by IM route is (in mg/kg) –,"- Ketamine induction dosing is commonly remembered as approximately 1–2 mg/kg IV and about 10 mg/kg IM. - While a range of 6–10 mg/kg IM is described, many standard anesthetic texts and exam keys use 10 mg/kg as the typical IM dose.  The answer is (D)",D,A,False,13.397398789,Anaesthesia,78,843
e25d6843-1d97-458a-b2de-4a3d5a5ab58a,Most appropriate mode of ventilation for head injury patient,The answer is (C),C,C,True,9.557230929,Anaesthesia,74,656
90bc68dd-3875-4846-bd23-f527ffa22558,Polyopia/diplopia is seen in which type of cataract?,The answer is (B),B,B,True,16.617863039,Anaesthesia,81,1104
9eb7a09b-699d-4699-9a47-3dc4de0f657a,Diffusion hypoxia is seen during -,The answer is (B),B,B,True,4.16651627,Anaesthesia,79,208
ea553791-31c7-4052-b3a4-dc0f1eedb0c4,Anesthectic agent with least minimum alveolar concentration (MAC):,The answer is (B),B,B,True,9.713054169,Anaesthesia,83,464
13fca785-3652-49f9-b960-6f8c35f3289c,Hepatitis is caused by:,"Halothane is well known to cause “halothane hepatitis,” an idiosyncratic, immune-mediated hepatic necrosis. Isoflurane and enflurane have far lower hepatotoxic potential, and cyclopropane is not associated with hepatitis.  The answer is (B)",B,B,True,7.325918325,Anaesthesia,77,454
e1c82288-cae3-4893-b498-88601d582f8f,A patient with bilirubin value of 8 mg/dl and serum creatinine of 1.9 mg/dl is planned for surgery. What is the muscle relaxant of choice in this patient –,"- The patient has both hepatic dysfunction (bilirubin 8 mg/dl) and renal impairment (creatinine 1.9 mg/dl). - The safest neuromuscular blocker in combined liver and kidney dysfunction is one with organ-independent metabolism. - Atracurium undergoes Hofmann elimination and ester hydrolysis, largely independent of hepatic and renal function. - Vecuronium and rocuronium are primarily hepatically eliminated (and can be prolonged in liver disease); pancuronium depends largely on renal excretion.  The answer is (C)",C,C,True,10.211655307,Anaesthesia,110,571
cf8e5fea-3f10-4bdb-a1d2-d8d7257b2e1d,Most potent antiemetic agent used in preoperative period,The answer is (B),B,B,True,8.867031154,Anaesthesia,83,720
49dbfb9e-6f05-4ee9-b270-34967ada0cb9,"On postoperative day 5, an otherwise healthy 55-year-old man recovering from a paial hepatectomy is noted to have a fever of 38.6degC (101.5degF). Which of the following is the most common nosocomial infection postoperatively?",The answer is (C),C,C,True,4.132850966,Anaesthesia,130,400
c486dbc5-e803-47a5-ac61-a2e696565c6f,Longest acting among muscle relaxant is?,"Doxacurium is a long-acting non-depolarizing neuromuscular blocker, whereas rocuronium, vecuronium, and atracurium are intermediate-acting agents. Therefore, among the options, doxacurium has the longest duration of action.  The answer is (A)",A,A,True,3.765688984,Anaesthesia,80,265
c628fa42-81b5-4abc-b7a2-bf15c95b4fac,Repeated use of halothane causes –,The answer is (A),A,A,True,4.091569433,Anaesthesia,77,336
a06ca870-cad9-4717-a950-3a5aad1e44e8,Nasal intubation is contra indicated in,The answer is (A),A,A,True,12.386139768,Anaesthesia,83,784
9a6d42bd-106e-44ba-9ee5-2df00638194c,Amount of K+ in ringer lactate is,"Ringer lactate (Hartmann’s solution) typically contains approximately: - Na+: ~130 mEq/L - K+: ~4 mEq/L - Ca2+: ~2–3 mEq/L - Lactate: ~28 mEq/L - Cl−: ~109 mEq/L  Thus, the potassium content is 4 mEq/L.  The answer is (B)",B,B,True,5.631811532,Anaesthesia,75,284
0251fecc-f77c-4986-9c6a-158dc5bdc48d,Metabolism of amide local anesthetic is slowed in which of the following condition,The answer is (A),A,A,True,7.108860059,Anaesthesia,91,656
b29cf421-1771-428e-8e67-ab17dd8608b1,The potency of an inhalational anesthetic depends on:,The answer is (B),B,B,True,3.183042847,Anaesthesia,84,208
d574d9f6-903f-458c-a310-5d611f7a98cf,Helium is used along with oxygen instead of plain oxygen because,"Helium has a much lower density than nitrogen, so a helium-oxygen mixture (heliox) reduces gas density in the airways, which decreases turbulent flow and airway resistance, improving ventilation in obstructive conditions. It does not increase oxygen absorption, reduce dead space, or provide analgesia.  The answer is (B)",B,B,True,6.993040906,Anaesthesia,86,395
7039e3d1-dad6-4059-b417-294573e734a9,Index of potency of general anesthesia -,"Potency of inhalational anesthetics is quantified by the minimum alveolar concentration (MAC); lower MAC means higher potency. Other options relate to solubility or ventilation, not potency.  The answer is (A)",A,A,True,4.091973521,Anaesthesia,78,309
5c6cac14-519d-462e-9f47-2b6cd1fe36b0,Which of the following inhalational agents is the induction agent of choice in children –,The answer is (B),B,B,True,5.931953081,Anaesthesia,90,464
70301ce5-80ca-4a21-9697-433b155d1e25,Which anaesthetic gas has high propensity to accumulate in cavities?,The answer is (B),B,B,True,2.644213368,Anaesthesia,80,80
ecba0ac9-4a41-41be-9f4e-30f1bab50d62,Which of the following determines the speed of recovery from IV anesthetic agents?,The answer is (C),C,C,True,3.691503666,Anaesthesia,93,272
c2eded9e-bb41-4e91-8c20-6519a539971c,Nephrotoxic anaesthetic agent is :,Methoxyflurane is known to cause nephrotoxicity due to fluoride ion release during metabolism. Halothane is associated with hepatotoxicity; isoflurane and nitrous oxide are not nephrotoxic.  The answer is (C),C,C,True,4.490016031,Anaesthesia,82,318
53127722-9677-4ea2-9656-976b7a5c620a,Landmark for superior laryngeal nerve block,The superior laryngeal nerve (internal branch) is blocked where it pierces the thyrohyoid membrane near the greater cornu of the hyoid bone.  The answer is (D),D,D,True,4.013037673,Anaesthesia,87,307
fe2d3782-e694-4285-8404-02a4615b0e6a,A 20 yr old patient presented with early pregnancy for Medical termination of Pregnancy in day care facility. What will be the anesthetic induction agent of choice?,The answer is (C),C,C,True,7.624954948,Anaesthesia,98,528
4f515bda-19f6-474f-8169-d4f22c76d337,Percentage of tetracaine used in eye surgery?,The answer is (A),A,A,True,5.677350132,Anaesthesia,76,400
f2fff366-7a06-4976-85e7-908450c55a97,O2 is given during anaesthesia to prevent –,"Oxygen is administered during anesthesia primarily to maintain adequate arterial oxygenation and prevent tissue hypoxia. Pain control requires analgesics (e.g., opioids), hypercapnia is prevented by adequate ventilation to remove CO2, and hypotension is managed with fluids, vasopressors, and anesthetic depth adjustments. Therefore, oxygen’s main role here is prevention of hypoxia.  The answer is (B)",B,B,True,3.759657811,Anaesthesia,75,156
586a4cbe-1695-429c-a57b-3d051f034cbb,Which of the following drugs produces dissociative anaesthesia: March 2013 (g),The answer is (A),A,A,True,4.641295175,Anaesthesia,88,208
a8b1765b-31c2-4eed-91c4-c0dbe8ff68ca,Drug of choice for lignocaine toxicity ?,"Lidocaine (lignocaine) toxicity can produce seizures and cardiovascular instability/arrhythmias. While lipid emulsion therapy and benzodiazepines are first-line in modern management, among the given options, amiodarone is the preferred antiarrhythmic for ventricular arrhythmias in local anesthetic systemic toxicity. Phenytoin is avoided, and phenobarbitone is not first-line.  The answer is (D)",D,B,False,37.036592262,Anaesthesia,79,2403
e3b8bd81-1122-419f-b97f-9436e9714fef,"A previously healthy 55-year-old man undergoes elective right hemicolectomy for a stage I (T2N0M0) cancer of the cecum. His postoperative ileus is somewhat prolonged, and on the fifth postoperative day his nasogastric tube is still in place. Physical examination reveals diminished skin turgor, dry mucous membranes, and ohostatic hypotension. Peinent laboratory values are as follows: Aerial blood gases: pH 7.56, PCO2 50 mm Hg, PO2 85 mm Hg. Serum electrolytes (mEq/L): Na + 132, K+ 3.1, Cl - 80; HCO3 - 42. Urine electrolytes (mEq/L): Na + 2, K+ 5, Cl - 6. What is the patient's acid-base abnormality?",The answer is (D),D,D,True,13.684526291,Anaesthesia,264,656
5121b67d-c80c-4c95-b74b-edd4611911b5,A child developed methemoglobinemia after receiving local anaesthesia during a surgical procedure which was treated by the intravenous administration of methylene blue. Which of the following anaesthetic must have given in this child?,The answer is (C),C,C,True,2.146236465,Anaesthesia,112,144
6752e8f2-c5e1-4b3c-9c03-a972d7262045,Long acting non-depolarising competitive blocker is,- Doxacurium is a long-acting non-depolarizing neuromuscular blocker. - Rocuronium is intermediate-acting. - Mivacurium is short-acting. - Atracurium is intermediate-acting.  The answer is (A),A,A,True,5.285610857,Anaesthesia,83,387
c44ba59e-08fe-4661-b5c4-f4b1397a74bf,Soda lime circuit is NOT used in anaesthesia with the following agent:,The answer is (C),C,C,True,17.570228357,Anaesthesia,88,1360
bdb44382-2b49-4c10-84a1-267aadcf5cdb,Drug producing Haematological side effect is:-,"- We’re looking for an anesthetic associated with hematological toxicity. - Nitrous oxide oxidizes vitamin B12 and inhibits methionine synthase, leading to megaloblastic anemia, leukopenia, and bone marrow suppression with prolonged exposure. - Halothane (hepatotoxicity), ketamine (cardiovascular/CNS effects), and sevoflurane (low nephrotoxicity concerns) are not known for hematological side effects.  The answer is (A)",A,A,True,9.308185643,Anaesthesia,79,494
34dd629e-5386-4dd0-8caf-a804e6fd0607,Bone marrow depression is seen with.,"- Halothane: known for halothane hepatitis; not associated with bone marrow depression. - Nitrous oxide (N2O): oxidizes the cobalt in vitamin B12, inhibiting methionine synthase; chronic or prolonged exposure can lead to megaloblastic anemia and bone marrow suppression. - Ether: mainly causes airway irritation and postoperative nausea; not bone marrow depression. - Isoflurane: minimal systemic toxicity; not linked to marrow suppression.  The answer is (B)",B,B,True,7.353036417,Anaesthesia,73,430
2a98fb51-bb27-43fe-898f-4469e5a37c0f,Laryngeal mask airway not used in -,The answer is (B),B,B,True,21.854348508,Anaesthesia,82,1808
b8772793-66c4-4b37-9165-c88785bc311d,"Fit and healthy young female for lap. gyne operation, which of the following doesn&;t require continuous monitoring",The answer is (C),C,A,False,26.341976565,Anaesthesia,88,2192
