id,question,Option_A,Option_B,Option_C,Option_D,Answer
109,What fruit is used to make wine?,Apples,Grapes,Berries,Plums,B
110,What does 'dpi' stand for in image quality?,Digital Pixels per Inch,Dots Per Inch,Data Points per Image,Display Pixels per Image,B
111,What are the colors of the French flag?,"Red, white, blue","Blue, white, red (tricolor)","Red, yellow, black","Green, white, red",B
112,What is the name for the gradual warming of the Earth's surface?,Global Cooling,Climate Variation,Global Warming,Greenhouse Cooling,C
113,What is the highest female singing voice?,Mezzo-soprano,Contralto,Alto,Soprano,D
114,What shape is a rugby ball?,Perfectly round,Oval/prolate spheroid,Hexagonal,Flat oval,B
115,What does 'COO' stand for?,Chief Operations Officer,Central Operations Officer,Chief Operational Official,Core Operations Officer,A
116,What does 'NoSQL' mean?,Not Only SQL,No SQL allowed,New SQL,Normal SQL,A
117,How many official languages does Canada have?,1,2,3,4,B
118,What does 'prose' mean?,Poetry with rhyme,Written language in its ordinary form,Language with a strict meter,Only fiction writing,B
119,What is the name for a story set in an imaginary world with magic?,Legend,Myth,Fable,Fantasy,D
120,What is the most basic HTML tag that wraps all content?,<body>,<main>,<html>,<head>,C
121,How many sides does a square have?,3,5,6,4,D
122,What is the name of the book that contains yearly statistics and facts?,Encyclopedia,Dictionary,Atlas,Almanac,D
123,What is the name of the first programming language?,FORTRAN,COBOL,LISP,Assembly,D
124,What is the national flower of Japan?,Lotus,Rose,Cherry Blossom,Chrysanthemum,C
125,What does 'carbon footprint' mean?,Size of one's shoe,Amount of carbon dioxide released by activities,Amount of fossil fuels burned globally,Size of a person's impact on nature,B
126,What is the capital of Estonia?,Tartu,Narva,Pärnu,Tallinn,D
127,What does a hyphen (-) connect?,Sentences,Parts of compound words,Paragraphs,Clauses,B
128,What is the capital of Chile?,Valparaíso,Concepción,Antofagasta,Santiago,D
129,What does 'recursion' mean in programming?,A loop that runs forever,Repeating code without functions,A function that calls itself,Running code in reverse,C
130,Who invented the airplane?,Henry Ford,Nikola Tesla,Thomas Edison,The Wright Brothers,D
131,What family of instruments does a flute belong to?,Brass,Woodwind,String,Percussion,B
132,"In baseball, how many strikes result in a strikeout?",2,4,3,5,C
133,What is the approximate age of Earth?,2.5 billion years,4.5 billion years,6 billion years,10 billion years,B
134,What is half of 100?,40,60,25,50,D
135,What does 'p.m.' stand for?,Post morning,Per minutum,Post meridiem (after noon),Pre midnight,C
136,What is the name for a book about a person's life written by someone else?,Autobiography,Memoir,Diary,Biography,D
137,What does 'ISO' control in photography?,Focus,Aperture,Shutter speed,Light sensitivity,D
138,What type of voice is between soprano and alto?,Contralto,Mezzo-soprano,Mezzo-alto,Mid-soprano,B
139,What is a biography?,A story about the author's own life,A fictional story,A story about someone else's life,A historical account,C
140,How many notes are in a standard musical octave?,5,6,7,8,D
141,What is the name of the famous canal in Egypt?,Panama Canal,Erie Canal,Suez Canal,Kiel Canal,C
142,What is the only mammal capable of true flight?,Flying squirrel,Sugar glider,Bat,Colugo,C
143,"In basketball, how many points is a free throw worth?",2,1,3,Half a point,B
144,What fuel do most commercial airplanes use?,Gasoline,Diesel,Jet fuel,Natural gas,C
145,What is the name of the Roman god of the sea?,Mars,Pluto,Neptune,Vulcan,C
146,What is 10 times 10?,10,1000,1000,100,D
147,What is the name for the emotional association of a word?,Denotation,Connotation,Syntax,Diction,B
148,What does 'algorithm' mean?,A type of computer virus,A step-by-step procedure for solving a problem,A coding language,A type of database,B
149,What is the name of the Greek goddess of wisdom?,Aphrodite,Artemis,Hera,Athena,D
150,What is the capital of Haiti?,Cap-Haïtien,Carrefour,Port-au-Prince,Delmas,C
151,What does 'piano' mean in music dynamics?,Very loud,Medium loud,Soft/quiet,Very soft,C
152,What design principle makes important elements stand out?,Balance,Proximity,Alignment,Contrast,D
153,What is the file extension for Python files?,.pyt,.py,.python,.pyn,B
154,What sound does a sheep make?,Moo,Baa,Oink,Cluck,B
155,What is a group of elephants called?,Pack,Herd,Pride,Colony,B
156,What does 'LOL' stand for?,Lots of Love,Laugh Out Loud,Loads of Laughter,Lot of Luck,B
157,What symbol is commonly used for comments in Python?,//,/*,#,<!--,C
158,What does 'scuba' stand for?,Self-Contained Underwater Breathing Apparatus,Self-Contained Underwater Buoyancy Aid,Submarine Controlled Underwater Breathing Apparatus,Special Controlled Underwater Breathing Apparatus,A
159,What is the capital of Slovakia?,Košice,Prešov,Banská Bystrica,Bratislava,D
160,What is the national animal of Australia?,Koala,Platypus,Kangaroo,Wombat,C
161,What does 'XR' stand for?,Extended Reality,Extreme Reality,Experimental Reality,External Reality,A
162,What is the name of the largest cold desert in the world?,Gobi Desert,Patagonian Desert,Antarctic Desert,Arctic Desert,C
163,What is the capital of New Zealand?,Auckland,Christchurch,Wellington,Dunedin,C
164,What is the national flower of England?,Daffodil,Thistle,Shamrock,Rose,D
165,What is the name of the famous tower in Paris?,Arc de Triomphe,Notre Dame Tower,Eiffel Tower,Louvre Tower,C
166,What is the capital of Canada?,Toronto,Vancouver,Ottawa,Montreal,C
167,What is the file extension for JavaScript files?,.java,.jscript,.jvs,.js,D
168,What does 'API' stand for?,Application Programming Interface,Automated Program Integration,Application Process Interface,Automated Programming Interface,A
169,What is the capital of South Africa?,Cape Town,Johannesburg,Pretoria,Durban,C
170,Which language uses the Cyrillic alphabet?,Greek,Arabic,Russian,Chinese,C
171,What is the name of the wizard school in Harry Potter?,Beauxbatons,Durmstrang,Hogwarts,Castelobruxo,C
172,What is the capital of Albania?,Durrës,Vlorë,Shkodër,Tirana,D
173,What is the longest word in English?,Uncopyrightable,Incomprehensibilities,Pneumonoultramicroscopicsilicovolcanoconiosis,Antidisestablishmentarianism,C
174,What is the largest mammal in the world?,African Elephant,Blue Whale,Giraffe,Giant Squid,B
175,What is the capital of Latvia?,Daugavpils,Liepāja,Jūrmala,Riga,D
176,What is the term for when a game ends because the king has no legal moves but is not in check?,Check,Checkmate,Draw,Stalemate,D
177,What is the name of the hobbit in 'The Lord of the Rings'?,Bilbo Baggins,Pippin Took,Frodo Baggins,Samwise Gamgee,C
178,What is foreshadowing?,Looking back at past events,Hinting at future events,Describing settings in detail,A type of metaphor,B
179,What is the capital of Romania?,Cluj-Napoca,Bucharest,Timișoara,Iași,B
180,What fruit grows on a cactus?,Durian,Jackfruit,Prickly pear,Dragon fruit,C
181,What country invented basketball?,USA,Canada,UK,France,B
182,What is the capital of Serbia?,Novi Sad,Niš,Subotica,Belgrade,D
183,What does a barometer measure?,Temperature,Humidity,Wind speed,Air pressure,D
184,What is the name of the famous opera house in Sydney?,Sydney Arts Center,Sydney Opera House,Sydney Concert Hall,Sydney Performing Arts Centre,B
185,What is the name of the fairy tale character whose nose grew when he lied?,Jack,Hansel,Pinocchio,Peter Pan,C
186,What season comes after summer?,Spring,Winter,Autumn,"None, it cycles",C
187,What is the capital of Finland?,Tampere,Turku,Oulu,Helsinki,D
188,What force keeps planets orbiting the Sun?,Magnetism,Gravity,Friction,Electricity,B
189,What sport uses the term 'birdie'?,Tennis,Badminton,Golf,Cricket,C
190,What is the name of the natural satellite of Earth?,Titan,Europa,The Moon,Phobos,C
191,What is the capital of Uzbekistan?,Samarkand,Namangan,Tashkent,Andijan,C
192,What is the name for the introduction paragraph's last sentence that states the essay's argument?,Topic sentence,Closing sentence,Hook,Thesis statement,D
193,What is the fastest land animal?,Lion,Cheetah,Horse,Greyhound,B
194,What color do you get when you mix red and blue?,Green,Orange,Purple,Brown,C
195,How many syllables does a traditional haiku have?,5-7-5 (17 total),3-5-3 (11 total),7-5-7 (19 total),5-5-7 (17 total),A
196,What gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,C
197,What is the speed of light approximately?,"300,000 km/s","150,000 km/s","450,000 km/s","100,000 km/s",A
198,What does 'sol' mean in Latin?,Moon,Sun,Star,Sky,B
199,What is the name of the smallest unit of an element?,Molecule,Electron,Atom,Neutron,C
200,What is the longest mountain range in the world?,Himalayas,Rockies,Andes,Alps,C
201,What does 'DVD' stand for?,Digital Video Disc,Digital Visual Disc,Digital Versatile Disc,Data Video Disc,C
202,What does 'URL' stand for?,Uniform Resource Locator,Universal Resource Link,Unified Resource Locator,Universal Reference Link,A
203,What is the name of the mark placed over letters like 'ñ'?,Umlaut,Diacritic,Circumflex,Tilde,D
204,What was the name of the first commercially successful social network?,Friendster,MySpace,Facebook,Six Degrees,B
205,What type of engine does a car typically use?,Steam engine,Electric motor only,Diesel only,Internal combustion engine,D
206,Who is credited with inventing the World Wide Web?,Vint Cerf,Steve Jobs,Tim Berners-Lee,Bill Gates,C
207,What is the capital of Nicaragua?,León,Masaya,Chinandega,Managua,D
208,Who was the first person to receive two Nobel Prizes?,Albert Einstein,Linus Pauling,Marie Curie,Frederick Sanger,C
209,What does 'CD-ROM' stand for?,Compact Disc - Read Only Memory,Compact Data - Read Only Memory,Computer Disc - Read Only Memory,Compact Disc - Random Only Memory,A
210,What is the name of the famous soccer player known as 'The Black Panther'?,Pelé,Eusébio,Garrincha,Ronaldo,B
211,What does 'SSL' stand for?,Secure Server Layer,Secure Sockets Layer,Standard Sockets Layer,Secure System Layer,B
212,What is the name for the main argument of an essay?,Topic sentence,Thesis statement,Introduction,Conclusion,B
213,What does 'MR' stand for in technology?,Mixed Reality,Multi Reality,Maximum Reality,Mobile Reality,A
214,How many players are on a baseball team on the field?,8,9,10,11,B
215,What is the name of the study of fungi?,Botany,Zoology,Ecology,Mycology,D
216,What is the Roman numeral for 100?,D,C,M,L,B
217,What is assonance?,Repetition of consonant sounds,Repetition of vowel sounds in nearby words,Rhyming words,Onomatopoeia,B
218,What direction does the sun set in?,East,North,South,West,D
219,What year was Instagram founded?,2012,2009,2011,2010,D
220,What is the name for fraudulent emails that try to steal information?,Spam,Malware,Ransomware,Phishing,D
221,What is a group of wolves called?,Pride,Flock,Herd,Pack,D
222,What invention made Alfred Nobel famous (and wealthy)?,Telephone,Dynamite,TNT,Gunpowder,B
223,What is the capital of Singapore?,Singapore City,Marina Bay,Orchard,Sentosa,A
224,Who wrote Romeo and Juliet?,Charles Dickens,William Shakespeare,Jane Austen,Homer,B
225,What does 'first person' point of view mean in writing?,Written from 'he/she' perspective,Written from 'you' perspective,Written from 'I' perspective,Written from omniscient perspective,C
226,What is the term for a word that reads the same forwards and backwards?,Anagram,Palindrome,Homophone,Oxymoron,B
227,What is the name of the change from solid to liquid?,Freezing,Condensation,Evaporation,Melting,D
228,What is the name of the data structure that follows Last In First Out?,Queue,Linked List,Stack,Array,C
229,What does 'omnivore' mean?,Eats only plants,Eats only meat,Eats both plants and animals,Eats only insects,C
230,How many legs does a spider have?,6,10,8,12,C
231,What is the name of the Greek goddess of the hunt?,Athena,Aphrodite,Artemis,Hera,C
232,What does 'B2C' stand for?,Business to Client,Brand to Consumer,Business to Consumer,Business to Customer,C
233,How many wings does a butterfly have?,2,6,4,8,C
234,What does 'MVP' stand for in sports?,Most Valuable Person,Most Valuable Player,Most Valued Performer,Maximum Valuable Player,B
235,What is the capital of Iceland?,Akureyri,Reykjavik,Selfoss,Keflavik,B
236,What is the name of the fastest passenger train service in the world (Shinkansen)?,TGV,Bullet Train,Maglev,ICE Train,B
237,How many players are in a cricket team?,9,10,11,12,C
238,What is the name of the ship that Charles Darwin sailed on?,The Endeavour,The Beagle,The Discovery,The Resolution,B
239,What is the name of the first dog in space?,Belka,Strelka,Laika,Dezik,C
240,What does 'protagonist' mean?,The villain,The main character/hero,A supporting character,The narrator,B
241,In which sport do you use a puck?,Basketball,Hockey,Polo,Lacrosse,B
242,What is the name of the AI chatbot created by OpenAI?,Gemini,Copilot,Claude,ChatGPT,D
243,What does 'LAN' stand for?,Long Area Network,Local Access Network,Local Area Network,Limited Access Network,C
244,What is the name of the Chinese writing system?,Kanji,Hanzi,Hangul,Kana,B
245,How many years are in a century?,10,50,200,100,D
246,What is the difference between a hyphen and a dash?,No difference,Hyphens are shorter and used within words; dashes are longer,Dashes are shorter,Hyphens are for numbers only,B
247,What does 'p.s.' stand for?,Post script,Per se,Pro script,Post said,A
248,What does 'ciao' mean in Italian?,Thank you,Hello/Goodbye,Please,Yes,B
249,What is the capital of Uruguay?,Salto,Paysandú,Rivera,Montevideo,D
250,What year was Facebook founded?,2002,2003,2005,2004,D
251,What does 'CPU' stand for?,Computer Processing Unit,Central Process Unit,Central Processing Unit,Core Processing Unit,C
252,Who wrote 'To Kill a Mockingbird'?,Truman Capote,Harper Lee,John Steinbeck,Flannery O'Connor,B
253,What is the name of the asteroid belt's location?,Between Jupiter and Saturn,Between Mars and Jupiter,Between Earth and Mars,Between Saturn and Uranus,B
254,What is the capital of Saudi Arabia?,Jeddah,Mecca,Medina,Riyadh,D
255,What is the symbol for gold on the periodic table?,Gd,Ag,Go,Au,D
256,What is the name of sorting method that repeatedly swaps adjacent elements?,Selection sort,Insertion sort,Merge sort,Bubble sort,D
257,How many chambers does the human heart have?,2,3,4,5,C
258,How many stripes are on the American flag?,13,15,20,50,A
259,What is the freezing point of water in Celsius?,-10°C,10°C,5°C,0°C,D
260,What is a 'cookie' in web browsing?,A pop-up ad,Temporary internet files,A small file storing user data on your computer,A type of malware,C
261,What does 'Wi-Fi' stand for?,Wide Fidelity,Wireless Fidelity,Wireless Frequency,Wide Frequency,B
262,What is the name of the Japanese writing system used for native words?,Kanji,Hiragana,Romaji,Katakana,B
263,Who founded Microsoft?,Steve Jobs,Bill Gates and Paul Allen,Elon Musk,Mark Zuckerberg,B
264,How many planets are in our solar system?,7,9,10,8,D
265,What is the name for fiction set in the future with advanced technology?,Fantasy,Horror,Science Fiction,Thriller,C
266,What direction does the sun rise from?,West,North,South,East,D
267,What is the name of the scale used to measure tornado strength?,Beaufort scale,Saffir-Simpson scale,Richter scale,Enhanced Fujita scale,D
268,What is the national sport of Canada?,Ice Hockey and Lacrosse,Curling,Football,Baseball,A
269,What does 'ja' mean in German?,No,Please,Yes,Hello,C
270,What is a metaphor?,A direct comparison using 'like' or 'as',An exaggeration,A direct comparison without 'like' or 'as',A play on words,C
271,What is the name of the highest military award in the USA?,Bronze Star,Silver Star,Distinguished Service Cross,Medal of Honor,D
272,What piece can only move diagonally in chess?,Knight,Rook,King,Bishop,D
273,What is the name for a story about a real or imagined heroic person?,Myth,Fable,Fairy tale,Legend,D
274,What is the name of the comet visible from Earth approximately every 75 years?,Comet Hale-Bopp,Comet Shoemaker-Levy,Halley's Comet,Comet Lovejoy,C
275,What is a 'hat trick' in soccer?,3 assists in a game,3 goals in a game,3 saves in a game,3 fouls in a game,B
276,What does 'USB' stand for?,Universal Serial Bus,Universal System Bus,Unified Serial Bus,Universal Storage Bus,A
277,"In basketball, how many points is a regular basket worth?",1,3,4,2,D
278,How many zeros are in one million?,5,7,8,6,D
279,What does 'versus' (vs.) mean?,With,Against,For,After,B
280,What is a memoir?,A story about someone else's life,A record of a person's own experiences and memories,A historical account,A fictional story,B
281,What is the name of the pub in 'The Simpsons'?,Moe's Bar,Homer's Tavern,Moe's Tavern,Springfield Bar,C
282,What is the name of the Korean writing system?,Kanji,Hanzi,Hangul,Kana,C
283,What percent of the Earth's surface is covered by water?,50%,60%,80%,71%,D
284,What is the 'climax' of a story?,The beginning,The ending,The highest point of tension,The resolution,C
285,What does 'B2B' stand for?,Business to Buyer,Business to Business,Brand to Business,Business to Brand,B
286,What is the capital of Bangladesh?,Chittagong,Dhaka,Sylhet,Rajshahi,B
287,What is the name for a traditional story explaining natural phenomena?,Fable,Fairy tale,Myth,Legend,C
288,What is the name of the tool used to pick colors from an image?,Color picker/eyedropper,Brush tool,Lasso tool,Magic wand,A
289,What is the capital of Uganda?,Entebbe,Gulu,Mbarara,Kampala,D
290,What is the name of the study of the human mind?,Sociology,Psychiatry,Neurology,Psychology,D
291,What is the capital of Portugal?,Porto,Braga,Coimbra,Lisbon,D
292,What is the capital of Zambia?,Ndola,Kitwe,Livingstone,Lusaka,D
293,What does 'decrescendo' mean in music?,Getting louder,Getting faster,Getting slower,Getting quieter,D
294,What is the capital of Pakistan?,Karachi,Lahore,Islamabad,Peshawar,C
295,What is the name of the punctuation mark ';'?,Colon,Comma,Semicolon,Period,C
296,What is the currency of Japan?,Won,Yuan,Rupee,Yen,D
297,What is the name of the programming language created by Google for Android apps?,Swift,Python,Java or Kotlin,C++,C
298,How many days are in a week?,5,6,7,8,C
299,What is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,D
300,What layer of the atmosphere protects Earth from ultraviolet rays?,Ionosphere,Stratosphere,Troposphere,Ozone layer,D
301,What is the least populated continent (excluding Antarctica)?,Australia/Oceania,North America,South America,Europe,A
302,What is the full name of the character Bart Simpson's father?,Bartholomew Simpson,Homie Simpson,Homer J. Simpson,Homer B. Simpson,C
303,What is the name of the study of stars and space?,Astrology,Cosmology,Astronomy,Astrophysics,C
304,What is the charge of a proton?,Negative,No charge,Variable,Positive,D
305,What type of creature is Nessie supposedly?,Giant squid,Sea serpent,Lake monster,Prehistoric plesiosaur-like creature,D
306,What is the black dot in the center of the eye called?,Iris,Retina,Cornea,Pupil,D
307,What is the file extension for an image in JPEG format?,.png,.gif,.bmp,.jpg or .jpeg,D
308,What do you call the explanatory notes at the bottom of a page?,Annotations,Endnotes,Footnotes,Marginalia,C
309,What is the name of the famous amphitheater in Athens?,The Parthenon,The Pantheon,The Odeon,The Colosseum,C
310,What game uses 'Go' pieces on a grid?,A Chinese/Japanese board game,A Korean card game,A Japanese dice game,A Chinese tile game,A
311,What is the name of the design principle that refers to elements being properly aligned?,Contrast,Balance,Alignment,Proximity,C
312,What is the Roman numeral for 1?,I,V,X,L,A
313,What is the season when animals like bears typically hibernate?,Spring,Summer,Autumn,Winter,D
314,What does 'PIN' stand for?,Personal Identification Number,Private Identity Number,Personal Identification Note,Private Identification Number,A
315,What is the alphabet of the Arabic language called?,Arabic abjad,Arabic alphabet,Persian script,Nabataean,B
316,How many squares are on a standard chess board?,32,48,64,72,C
317,What is the capital of Hungary?,Debrecen,Pécs,Miskolc,Budapest,D
318,What does 'RAW' format mean in photography?,Compressed image file,Low quality image,Unprocessed image data,High resolution JPEG,C
319,What country invented chess?,China,Persia,India,Arabia,C
320,Where do electrons exist in an atom?,In the nucleus,Around the nucleus in shells,Inside the proton,Inside the neutron,B
321,What is the capital of Sri Lanka?,Kandy,Galle,Colombo,Sri Jayawardenepura Kotte,D
322,What is the name for the company that produces a book?,Author,Printer,Publisher,Editor,C
323,What is a group of ants called?,Colony,Swarm,Army,All of the above,D
324,What is typography?,The study of fonts and text arrangement,The study of printing,Graphic design principles,Visual communication,A
