ID,Problem,Ground Truth,Category,Correct_qwen,Latency_qwen,Input Tokens_qwen,Output Tokens_qwen,Correct_gpt5,Latency_gpt5,Input Tokens_gpt5,Output Tokens_gpt5
94,"Margaret Denault recently rented a truck to drive 516 miles in days and 17 hours, using 54 gallons of gasoline. The rental company charged her $32 per day, $.22 per mile, and $.445 per gal-lon of gas. Extra hours were charged $2.75 per hour. Find the total cost of the rental.",J,business,False,3.10545991,245,462,True,17.017114641,184,1141
95,Where in the balance sheet does each of the following belong? (A) Taxes payable (B) Capital stock (C) Retailed earnings (D) Administrative expense (E) Prepaid expenses,J,business,True,3.733186519,451,553,True,18.00327352,428,848
96,"Prepare a balance sheet for Silvertown Office Supplies, C.H. Walters, owner, as of April 30 of the current year, based on the following information: Cash, $3,390; Notes Receivable, $2,905; Accounts Receivable, $8,215; Merchandise Inventory, $23,600; Store Supplies, $720; Store Fixtures, $2,895; Furniture and Equipment, $5,600; Notes Payable, $5,250; Accounts Payable, $4,800.",H,business,False,2.142976956,317,315,True,6.380767792,242,336
97,What is the net cost of a tape recorder whose list price is $32 and on which the discount rate is 30%?,F,business,True,1.161793857,184,169,True,3.706953992,140,118
98,"Mr. Frankel wants to borrow $2,000 from November 16 for 143 days. The interest rate is 6%. What would the difference in the interest charge amount to if the bank used exact interest instead of bankers' interest?",H,business,True,3.722071025,199,555,True,11.898503484,161,720
99,"HarryHyppeis paid a straight wage of $2.89 (1/2) per hour. If he works 9 hours a day in a six-day week, how much will he be paid?",C,business,True,2.289072925,211,339,True,6.138115873,156,272
100,"Steven Moore purchased a new car for $3,462.20, including taxes and all other charges. He wishes to pay for it in 35 months. Find his monthly payments.",E,business,True,0.964294539,203,139,True,5.256399393,151,336
101,"A man sells novelty items for $1.25 each. His cost is $.75 apiece plus a fixed cost of $140,000. How many items must he sell to break even? What is his sales revenue at that point?",H,business,True,2.594636655,331,383,True,4.622032885,222,272
102,"Find the amount to be paid each month in order to pay off car described below in two years. Price of car: $5,779.00 Transportation charge: $73.00 Factory-installed equipment: Radio 95.50 Metallic paint 59.90 Racing stripes 39.50 Power steering 98.00 Wide radial tires 198.10 Air conditioning 429.00 Dealer-installed equipment: Mirror $8.50 Mats 10.75 Undercoat 35.00 Insurance : Collision ($100-deductible) $505.75 for two years Comprehensive 231.50 for two years Sales tax: 5% Cash deposit: $500.00 Cost of financing: 9(1/2)%per year for two Years Used car allowance: $370.00",J,business,False,6.975907816,365,1042,True,39.448721209,273,2768
103,"Find the break-even point for the cost of production C and the revenue R received for each of the following: (a) C = $10x + $600,R = $30x (b) C = $5x + $200,R = $8x (c) C = $0.2x + $50,R = $0.3x (d) C = $1800x + $3000,R = $2500x",I,business,True,3.694876215,434,547,True,6.865385642,358,488
104,"The tax rate in the town of Centerville is 11(1 / 2)%. If a tax of $1,794 was paid on a piece of property and the assessment rate in Centerville is 30%, what is the expected market value of the property?",I,business,True,1.467848455,225,215,True,6.563659245,169,422
105,"A man buys a house and lot for $35,000, paying $12,000 down and borrowing the balance on a 6% mortgage due in 10 years. He pays real-estate taxes of $240, a water tax of $30, and insurance premiums of $70 a year. Allowing 4% interest on his investment, and 2% depreciation on the house valued at $25,000, what is the cost per month of owning the home if repairs average $120 a year?",I,business,False,4.296423342,277,640,True,18.648773106,218,1168
106,"The Five Star Hotel put down $3,000 worth of carpeting. The carpeting is made to last for five years. The hotel's accountant wishes to use the declining-balance method. What is the depreciation for the second year?",H,business,True,2.302717385,195,341,True,7.029159051,147,336
107,"Mr. Williams owns a piece of property assessed at $7,800 in a city which has a tax rate of $2.80 per $100. How much in property taxes does he pay?",A,business,True,1.301654691,212,190,True,4.429923361,154,272
108,"Joe Troy purchased a chain saw for $1,200 for his lumber mill. The saw will last 6 years and have no residual value. Mr. Troy wishes to use the straight-line method of depreciation. Find the depreciation and book value for the first two years.",H,business,False,3.080549928,375,456,True,4.352029481,292,278
109,Mr. Castle will buy one of two 10-HP motors offered to him. Motor A sells for $169 and has a full-load efficiency of 85.2%. Motor B costs $149 and has a full-load efficiency of 82.1%. The annual inspection and maintenance fee on both motors is 14.5% of the price. If electric energy costs 2.35 cents per kilowatt hour (1 HP = 0.746kw.) find the number of hours per year at which the cost of both motors will be the same.,J,business,False,9.563776719,290,1431,True,134.541594019,235,9004
110,Determine the number of men needed to build a boat in 77 days if it takes 36 men 132 days to build one.,G,business,True,2.07565582,170,307,True,7.264066584,131,402
111,"Given the above statement, find what would happen to the free amount if the reserve for contingencies to were to increase by $10,000.Retained Earnings: Reserved for contingencies $25,000 Reserved for plant expansion $20,000 Total reserves $45,000 Free retained earnings $50,000 Total retained earnings $95,000",A,business,True,1.965807551,255,290,True,9.482048658,184,546
112,"How much will it cost to cover a floor 13'6"" × 18'8"" with asphalt tile if the price is 9 (3/4) \textcent per 9"" tile?",G,business,True,3.170597362,202,472,True,50.074958854,157,2637
113,"Dermanand Klein are the sole stockholders of the Leather Products Corporation. It is estimated that Leather Products will have a taxable income of $30,000 this year. The stock is evenly divided between Mr.Dermanand Mr. Klein, so that resulting dividends will also be equally shared. Both Mr. Dermanand Mr. Klein expect to receive from other sources a net taxable income of $12,000. All profit after taxes Leather Products makes this year will be paid out as dividends. Mr.Dermanwants to introduce a new product. Should this venture succeed, the annual income before taxes will increase by $10,000. What will be the increase in stockholders' income after taxes? Use the tables ""Federal Taxes Rates on 1949 Net Incomes of Corporations in the United States"", and ""Federal Tax Rates on 1949 Incomes of Individuals in the United States.""",A,business,False,6.742864405,350,1007,False,83.104528574,293,5776
114,"Tom bought a new bicycle for $80. After 4 years of use, he sold it to a second-hand dealer for $15. What was the annual depreciation by the straight line method? What was the annual rate of depreciation?",B,business,True,2.650409951,265,392,True,6.522824574,213,461
115,A manufacturer can produce a saw for $13 in direct costs and $10 in overhead or indirect costs. He needs to sell his saw for a minimum price. At what price must he sell his saw so that he will not incur a short term loss?,J,business,False,1.367501217,180,200,True,10.62117959,145,534
116,Which of the following would yield the greatest net return to acorporation in the 50% tax bracket A) 5% certificate of deposit B) 5% government bond C) 5% corporate bond D) 5%treasurybond E) 4% municipal bond,J,business,False,3.556486551,247,530,True,11.551248687,223,528
117,The list price of a book is $4.95. It sells in a bookstore at a net price of $2.95. What is the amount of trade discount?,I,business,True,0.612067337,184,86,True,3.761633529,149,187
118,"A business started last year with an inventory of 90,000 items which cost $60,000 and had a selling price of $80,000, At the end of the year, the inventory consisted of 70,000 items which cost $90,000 and had a selling price of $120,000. Records indicate that, during the year, 360,000 items were sold which cost $300,000, with net sales of $380,000. What are thestockturnrates at cost, selling price, and number of units?",G,business,True,3.785261999,380,562,True,13.897697837,326,943
119,"Paul Murphy wants to have $10,000 in his account after 10 years. If interest is compounded annually at 4%, how much should Mr. Murphy invest now?",F,business,True,1.918041647,226,283,True,15.091181377,169,985
120,"Mr. Torres owns 350 shares of Krescostock paying a quarterly dividend of $1.20 per share, with an extra year-end dividend of $.30 per share. What was his total income from the stock for the year?",H,business,True,1.898237692,209,280,True,6.21291045,162,336
121,"Assume the following model (from the preceding problem). Y = C + I + G C = 100 + 0.6Y I = 0.2Y - 50i M_D = 0.25Y - 30i M_s = 65 G = 100 whose equilibrium level was found to be 500. Suppose that full employment level of income is 600, so that the desired change is 100. If the money supply is held constant, what change in govern-ment spending will be required to close the deflationary gap?",F,business,False,4.077060131,259,607,True,54.751528785,211,3216
122,"The average salary of the Bedford Manufacturing Co. rose 60% during a 10-year period. This rise amounted to $42.50 a week. (a) Find the average weekly salary at the beginning of the 10-year period, and (b) at the end of the 10-year period.",F,business,True,2.168489088,303,319,True,8.610791458,227,594
123,"_______ such as bitcoin are becoming increasingly mainstream and have a whole host of associated ethical implications, for example, they are______ and more ______. However, they have also been used to engage in _______.",A,business,True,1.720203811,249,253,True,8.585525979,225,464
124,"_______ economy is the term used to describe individuals being hired for a specific task rather than on a long-term basis. While this results in _________ which is beneficial for businesses, issues for those employed in such a manner relate to increased ________, uncertainty and a lack of _______.",A,business,False,1.554586355,252,228,True,5.135709653,229,375
125," The ________ perspective on sustainability resulted from growth models that analysed the carrying capacity of the planet, overall concluding that the finite capacity of the earth and_______, ________ and _______ by current and past generations could reduce quality of life for future generations. This contrasts with the environmental perspective with focuses on the need to maintain and preserve the natural environment.",B,business,False,1.803758538,292,264,False,7.945295663,272,528
126,"In a business to business context, conflicts of interest can arise in two main ways: conflict of _______ and _______ interests, which might arise, for example, when a firm is hired as a supplier of professional services by another firm or conflict of _________ and ________ interests, such as where an individual's interests may conflict with that of their employer.",D,business,False,2.707669543,251,402,True,17.502751397,215,1274
127,This is a hierarchy of effects or sequential model used to explain how advertising works:,D,business,True,2.689851451,141,400,True,5.617628157,117,272
128,The extent to which a service envelops a product varies according to a number of factors. Which of the following is NOT one of the factors?,J,business,False,2.388192145,196,354,False,14.734499226,173,1040
129,"An important characteristic of services is that they are produced and consumed by people, simultaneously, as a single event. One of the outcomes of this unique process is that it is exceedingly difficult to standardize the delivery of services around the blueprint model. Which characteristic of service is this referred to?",I,business,True,2.792087094,186,415,False,24.274631149,162,1616
131,This is the sharing of meaning created through the transmission of information:,D,business,True,2.070521602,121,307,True,3.89718304,98,208
132,Which one is not an element in the primary activities of a value chain?,H,business,False,2.463960441,133,366,False,28.575001141,109,2128
133,What are characteristics of a programmed decision?,J,business,False,2.192532652,147,325,False,7.44821894,124,466
134,Workers' acceptance of change is characteristic of what type of culture?,E,business,True,1.990816643,118,295,False,14.316130533,94,592
135,"For a two-period binomial model for stock prices, you are given: (i) Each period is 6 months. (ii) The current price for a nondividend-paying stock is $70.00. (iii) u =1.181, where u is one plus the rate of capital gain on the stock per period if the price goes up. (iv) d = 0.890 , where d is one plus the rate of capital loss on the stock per period if the price goes down. (v) The continuously compounded risk-free interest rate is 5%. What is the current price of a one-year American put option on the stock with a strike price of $80.00.",I,business,False,6.839745085,307,1022,True,68.45131982,258,4624
136,"Let's assume that the 10-year annual return for the S&P 500 (market portfolio) is 10%, while the average annual return on Treasury bills (a good proxy for the risk-free rate) is 5%. Whats the market Treynor Ratio? Return the numeric value between 0 and 1.",H,business,True,1.765809564,210,260,True,6.676580609,178,323
137,"CheckMate forecasts that its dividend will grow at 20% per year for the next four years before settling down at a constant 8% forever. Dividend (current year,2016) = $12; expected rate of return = 15%. What is the fair value of the stock now?",F,business,True,5.529015524,223,827,True,66.098031088,174,4676
138,"If at the beginning of each month a deposit of $500 is made in an account that pays 8% compounded monthly, what will the final amount be after five years?",E,business,True,2.753221555,224,409,True,17.025869085,159,1744
139,"Suppose the demand curve for oPads is given by $p=\frac{500-x}{10}, What is the elasticity value of this demand function.",I,business,False,4.351049566,172,650,True,67.5097091,144,3984
140,"Suppose a monopoly market has a demand function in which quantity demanded depends not only on market price (P) but also on the amount of advertising the firm does (A, measured in dollars). The specific form of this function is Q = (20 - P)(1 + 0.1A - 0.01A^2). The monopolistic firm's cost function is given by C = 10Q + 15 + A. Suppose there is no advertising (A = 0). What output will the profit-maximizing firm choose?",D,business,True,4.718647111,239,705,True,8.848869633,204,528
141,"Mr. Norman Schwartz, age 30, wants to take out a $15,000 insurance policy. What will be his difference in annual premiums between a 20-payment life policy and an ordinary life paid-up-at 65 policy? If he dies at age 62, how much will he have paid in for each policy?",B,business,False,6.227571111,230,932,False,39.541271153,180,2640
142,"lf 10% and 20% discounts are both given on the"" Speedway Racing Set"", list-priced at $32, what is the net price?",I,business,True,1.341037921,191,196,True,8.850017259,145,422
143,What percent of .65% is .42%?,I,business,True,1.749018705,148,258,True,13.020552864,107,720
144,"A wholesaler was going out of business so he sold merchandise for $1,288 at a loss of 8 percent of his original cost. Find the original cost of the merchandise.",C,business,True,1.308449497,226,191,True,4.807260386,171,312
145,"Pauline DiLorenzo wishes to purchase a store valued at $26,000. She obtains a mortgage for $23,000 at a rate of 5.5% per annum. If her gross income is $3,500 and her expenses are $1,800, what is the return on her investment?",E,business,False,2.329299164,220,345,True,14.881745732,178,886
146,"ABC Corporation shows total assets of $75,000 and total liabilitiesof $52,000. If the Corporation has only 500 shares ofstock outstanding, what is the book value per share?",H,business,True,1.069622763,194,155,True,4.579784316,153,260
147,Martha Michael spends $360 on her monthly telephone bills. This amounts to 6 (1 / 4) % of her earnings for the year. Find her yearly earnings.,E,business,True,1.593386823,194,234,True,7.960402542,149,518
148,"a frame house, located in a Class A town, insured for $24,000, or the sameframe house, located in a Class B town, insured for thesame $24,000? How much of a difference is there?",D,business,False,2.077187904,205,307,True,45.239236466,162,2320
149,"George put $500 into an account that bears interest at the rateof 8%, compounded quarterly. If he leaves the $500 for fiveyears, how much will he have?",I,business,True,2.507791989,207,372,True,24.632495115,150,1540
150,What percent is 131 of 42?,J,business,True,1.504142068,164,221,True,4.314552078,117,243
151,"Ike Waterman and Sean Cole invested $20,000 and $10,000 respectively in a fast food store. Each partner receives 6% of his investment. The remaining profit is to be shared equally. If the profit last year was $10,400, what was each partner's share?",E,business,True,2.677206868,386,394,True,6.414439278,304,544
152,"An invoice dated March 2 in the amount of $416.50, less 15% and 2(1/2) % with terms of 2% 10-EOM, was paid on April 10. What was the amount remitted in payment?",E,business,False,2.700743273,228,401,True,21.969226893,169,1047
153,"Paul Reilly deposited a $5,000 check in his savings and loan association account, which yields 4% interest. It remained there 3 years. Paul can have his interest compounded semiannually or quarterly. Which way will be more profitable to him?",I,business,True,4.430531462,188,662,True,17.276469105,163,1093
154,"With the invoice amount of $190.55, and a discount rate of 2% on a partial payment of $90.00, what is the balance due and the discount?",B,business,False,1.828094054,262,268,True,21.32908489,201,1484
155,$ .01(1/4) a share for stocks under $5 a share par value $ .02(1/2) a share for stocks from $5-$10 a share par value $ .03(3/4) a share for stocks from $10-$20 a share par value $ .05 a share for stocks over $20 a share par value Mr. Carr sold 300 shares of stock having a par value of $50 per share. What was the New York State transfer tax?,D,business,True,1.951631773,243,288,True,9.921538553,199,464
156,"New City has an annual budget of $4,221,890.49. Its property has a total assessed valuation of $150,781,803.21. What is the city's tax rate if other estimated receipts total $385,000.",G,business,False,1.825716952,213,269,True,5.553432128,163,528
157,"A furniture manufacturer wants to find out how many end tables he produced during a certain week. He knows that 8 employees produced 16 end tables each, 21 employees produced 23 each, 7 produced 27 each, and 4 produced 29 each, Find the total number of end 'tables produced during that week.",A,business,True,1.825583999,232,269,True,3.879876129,184,208
158,A television sells for $180. It costs the retailer $136.50. Find the percent markup based on the selling price.,E,business,True,1.134746456,169,165,True,6.58077643,130,336
159,"Find the total earnings of an employee who earns $2.40 per hour with time and a half for more than 8 hours per day if he worked 8 hours on Monday, 7 hours on Tuesday, 9 hours on Wednesday, 9 hours on Thursday, and 10 hours on Friday.",I,business,False,3.635869587,227,542,True,10.955597001,176,656
160,"The Last National Bank has just approved a loan at an interest rate of 6% for 90 days. If the interest charge on the loan is $36, how much is the principal of the loan?",J,business,False,3.275878508,191,488,True,4.613039854,146,288
161,"What is the future value obtained When $5,000 is saved annually for 20 years at 5% compounded quarterly.",C,business,True,3.383717789,208,504,True,88.228034739,141,6800
162,"On September 1, Mr. Blake received a statement for his checking account. The closing balance on the statement was $1,810.50. Mr. Blake's checkbook shows a balance of $1,685.75. In comparing his check stubs to the statement, he notices that checks for amounts of $60.80, $40.30, and $25.00 did not appear on the statement. Also, the statement lists a service charge of $1.35 which does not appear on his checkbook stubs. Prepare a reconciliation statement for. Mr. Blake.",G,business,False,2.221871823,315,327,True,9.483455304,249,592
163,"Ringling Brothers Circus recently purchased a new tiger cagefor $1,950. The accountants have decided to depreciatethe cage using the declining balance method with arate of 15%. What will be the book value of the cage in3 years?",C,business,True,2.448704226,237,363,True,4.891593477,180,360
164,"The assessed valuation of the taxable property in the town of Smithville is $52,384,600. The taxes to be raised are $123,475 for a new local project, $931,442.75 for educational purposes, and $319,878 for health and welfare needs. Find the town's tax rate (a) to thousandths of a percent, (b) in mills per $1 of assessed value (c) in cents per $100 of assessed value, and (d) in mills per $1,000 of assessed value.",B,business,True,3.48103789,681,511,True,23.725076327,506,1744
165,"Florsheimand Co. accepted a 90-day sight draft for $425.00 on October 10. It was discounted on November 1 at 5%. If their bank charged a (1/3)% collection fee, what were the proceeds?",D,business,False,3.914378582,224,584,True,39.576931175,166,3340
166,"TencerInc. has estimated its revenue function to be r(x) = 3x^2, where x is the number of years the company has been in business and r(x) is the total revenue earned up to year x in millions. The profit function is f(x) = 2x^2 - 5x +1, f(x) is the total profit earned up to year x. What is the cost accrued over a three year period? What is the rate of change of cost of production by the end of the third year?",B,business,True,3.415442975,298,507,True,10.324082895,256,848
167,"A draft for $800, due in 3 months and bearing interest at 4(1/2)%, was discounted 60 days before it was due. If the discount rate was 5%, what were the proceeds?",C,business,True,3.052338349,216,454,True,12.993708049,160,929
168,A water bed sells for $330 cash or $40 down and $10.50 a month for 36 months. Find the annual interest rate charged.,D,business,False,4.483123287,184,670,False,21.049529302,145,1808
169,"A tomato cannery has 5000 pounds of grade A tomatoes and 10,000 pounds of grade B tomatoes, from which they will, make whole canned tomatoes and tomato paste. Whole tomatoes must be composed of at least 80 percent grade A tomatoes, whereas tomato paste must be made with at least 10 percent grade A tomatoes. Whole tomatoes sell for $0.08 per pound and paste sells for $0.05 per pound. Formulate a linear program to solve for how much of each product to make, if the company wants to maximize revenue. (Hint: Let x_WA = pounds of A grade tomatoes used in whole tomatoes, x_WB = pounds of B grade tomatoes used in whole tomatoes; the amount of whole tomatoes produced can be found as x_WA + x_WB after x_WA and x_WB are chosen.)",G,business,True,5.478557369,536,814,True,10.684513248,487,784
170,"In one year Juan earned $30,000. and Don earned $20,000 as free-lance commercial artists. Juan paid $10,000. in taxes. Don paid $6,000. They know that lb + a = T is the linear equation used in computing their tax payments, where I stands for 'income' and T, the amount of tax to be paid. What are the values of the constants a and b?",E,business,True,3.607582746,290,536,True,10.27303824,256,736
171,A loan is made on December 17 for a time period of 120 days. When is it due (not a leap year)?,E,business,False,1.936501314,166,286,True,16.220073952,131,1168
172,A $39.90 radio can be purchased on the installment plan for $5.00 down and $3.10 a month for a year. What is the annual interest rate for this installment purchase?,I,business,False,3.182891774,176,474,True,63.643215401,141,5049
173,"An electric sign in Times Square cost $4,500. It has an expected life of 11,250 hours after which it will have a scrap value of $450. What is the depreciation charge for a month in which it was used 478 hours?",G,business,True,2.820513469,228,419,True,5.596444443,166,364
174,"While on a trip to St. Louis, Howard Travers made the following purchases: 10 gal @ 33.9 \textcent 14 gal @ 32.9 \textcent 12 gal @ 31. 9 \textcent 8 gal @ 29.9 \textcent What was the average cost per gallon, to the nearest tenth of a cent?",F,business,True,2.541747132,242,377,True,9.852274888,201,784
175,"The owner of a small store plans on purchasing $1,500 worth of goods to be marked up 40% based on the selling price. Of this he will have purchased $200 worth of ""floor goods"", which will sell for $250. If he is to maintain the desired 40% markup on the total purchase, what markup % is needed on the balance of the purchases?",J,business,False,5.608710797,225,839,True,12.117023212,182,656
176,"Mr. Carson signed a note as payment for a debt on March 15. If the note had a term of two months, what was its maturity date?",B,business,True,0.81047269,170,116,True,10.429578788,136,592
177,John Wilson retired at age 62 with average yearly earnings of $5400. His wife was also 62 when he retired. How much do the Wilsons receive each month?,D,business,True,3.204684018,204,477,True,27.67990819,149,1616
178,"Mr. Howard owns a house worth $16,500 which is assessed at the rate of 22%. His tax rates are as follows: $.41 per $100 for a local college fund $.02 per $100 for special education $.001 per $100 for health and welfare $.089 per $100 for community construction How much tax does Mr. Howard pay for each of these needs? What was the total tax?",C,business,False,4.009841901,257,597,True,17.504089695,197,1492
179,"It has been found that hours of recreation (r) and wages (W) have a direct effect on productivity (P), so that : P =ar+bW. In two surveys it was found that Survey 1P = 170 : r = 51 : W = 136 Survey 2P = 425 : r = 68 : W = 204 What are the values of a and b ?",H,business,True,4.299530576,306,640,True,15.040706211,258,831
180,"A sum of money is borrowed for a term of 1 year, discounted at the rate of 6%. What is the true rate of interest charged? What would the true rate of interest be for the same sum of money discounted at an 8% rate? (Record answers to the nearest tenth of 1%.)",E,business,True,2.641477448,252,392,True,9.595227938,229,594
181,"Mr. Casey purchased office furniture for $725. It has an estimated salvage value of $25.00 at the end of 10 years. Using the sum-of-the-years-digits method, find the depreciation for the fourth year.",G,business,True,1.977964083,199,292,True,5.348195123,151,400
182,"Steven Fox is a salesman for the Maxi-Power Vacuum Cleaner Co. He receives $32.50 for each cleaner he sells, plus a 25% commission on all the accessories and supplies he sells. Find his total income for the month during which he sells 14 cleaners and $237.40 worth of accessories and supplies.",A,business,True,1.666900859,240,245,True,7.279063271,180,325
183,A radio costing $38.00 plus 3% excise tax and 4% sales tax may be purchased for $10.00 down and 3 payments of $11.60. (A) What is the cash price of the radio? (B) What is the installment price of the radio?,A,business,False,1.951834783,366,286,True,7.567674582,297,464
184,"A bulldozer that the Columbus Construction Co. purchased for $15,500, will have a trade-in value of $2,600 after five years. What is the book value at the end of the first three years, if the company uses the sum-of-the- years-digits method?",H,business,True,3.888095111,225,580,True,10.974382286,174,776
185,"Mr. Langham decides to take a loan from his bank for $60 at a nominal rate of 6%. If he agrees to repay the loan in equal installments over a period of 15 months, how much will each of the monthly payments be?",B,business,False,3.197759992,200,476,True,59.983647907,163,4812
186,A television sells for $226.50. The markup is 30% based on the cost. Find the cost.,D,business,True,1.301613503,195,190,True,4.970720673,138,208
187,"Assume that some function, K = F (i) is the cost of the production and marketing of a product, and the total cost (K) is solelydependantupon the number of items produced, whereistands for the number of items produced. Then, the average rate of change in cost = {change in total cost / change in number of items) ; (\DeltaK/\Deltai) = [{F(i_2) - F(i_1)} / {i_2 - i_1}]. Suppose the production and marketing cost of a pair of compasses is K = F (i) = 3\surdi . When O \leqi\leq 250. What then, is the average rate of change in cost, (a) fromi= 25 toi= 100 ? (b) fromi= 25 toi= 225 ?",I,business,True,3.463259245,596,510,True,3.88922074,485,336
188,"The Motor-Cade Auto Supply Company is taking inventory for the quarter ending June 30. It discovers that it has150 cans of Q-56 motor oil on hand. Records reveal the following information: Quantity Cost per Can Inventory, April 1 130 $.36 Purchase, April 15 100 $.365 Purchase, May 23 180 $.40 Purchase, June 29 120 $.425 Find the value of this item in their inventory, using the average cost method.",I,business,True,3.261220694,274,484,True,11.96357664,210,848
189,What is the net price of a calculator list-priced at $100.00 and discounted at 40% and 25%?,C,business,True,1.577123263,158,232,True,5.875156189,120,313
190,What are the three differing types of stakeholder theory according to Donaldson and Preston (1995)?,H,business,True,2.606223875,187,387,True,3.016800462,161,144
191,_______ theory can be described as a code of conduct to which all rational beings should adhere. This contrasts with ________ morality which is the code of conduct adopted by a particular group or society.,D,business,True,1.446823174,186,212,True,2.251382549,159,144
192," Although the benefit and contribution of civil society in encouraging sustainability, lobbying on important issues and helping the needy are taken for granted in many places, in many other countries, such as _____ and ______ civil society is far less developed than in, for instance, _______.",F,business,True,2.467997161,205,366,True,11.394280183,182,656
193,Which of the following is not one the underlying principles of the corporate governance Combined Code of Practice?,F,business,False,2.096679846,114,311,False,25.057521161,91,1552
